path,data_type,market,symbol,start_time,end_time,frequency,rows,size,schema,missingness,duplicate_rate,usable_status,notes
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke-fixed.db,quotes,web3_local_smoke,,2026-09-15T19:35:03.683000+00:00,2026-09-15T19:35:05.345000+00:00,snapshot/event,6,176128,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, from_token:TEXT, to_token:TEXT, amount_in:TEXT, amount_out:TEXT, vendor:TEXT, quote_id:TEXT, trade_fee:TEXT, gas_fee:TEXT, price_impact_percent:REAL, route_count:INTEGER, route_spread_bps:REAL, latency_ms:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,DEX aggregator quote observations
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke-fixed.db,trades,web3_local_smoke,,,,snapshot/event,0,176128,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, trade_ts_ms:INTEGER, wallet:TEXT, side:TEXT, amount:TEXT, price:REAL, tag:TEXT, raw_json:TEXT",not computed for SQLite source inventory,0.0,EMPTY,DEX token trades
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke.db,api_events,web3_local_smoke,,2026-09-15T19:34:27.151000+00:00,2026-09-15T19:34:32.333000+00:00,snapshot/event,8,155648,"id:INTEGER, run_id:TEXT, tier:TEXT, endpoint:TEXT, method:TEXT, requested_at_ms:INTEGER, completed_at_ms:INTEGER, http_status:INTEGER, business_code:INTEGER, latency_ms:REAL, transport_error:TEXT, retry_after:TEXT, params_json:TEXT, body_json:TEXT, response_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,local research metadata
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke.db,market_state,web3_local_smoke,,,,snapshot/event,0,155648,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, symbol:TEXT, price:REAL, price_change_5m:REAL, price_change_1h:REAL, volume_5m:REAL, buy_volume_5m:REAL, sell_volume_5m:REAL, txs_5m:REAL, liquidity:REAL, market_cap:REAL, holders:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,EMPTY,DEX token market snapshot
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke.db,token_state,web3_local_smoke,,2026-09-15T19:34:27.151000+00:00,2026-09-15T19:34:27.151000+00:00,snapshot/event,2,155648,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, state_type:TEXT, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,local research metadata
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke.db,candles,web3_local_smoke,,2026-09-15T18:35:00+00:00,2026-09-15T19:34:00+00:00,1m,120,155648,"id:INTEGER, run_id:TEXT, chain:TEXT, token:TEXT, bar:TEXT, candle_ts_ms:INTEGER, open:REAL, high:REAL, low:REAL, close:REAL, volume:REAL, trade_count:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,1m candle-like DEX token data
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke.db,quotes,web3_local_smoke,,2026-09-15T19:34:31.515000+00:00,2026-09-15T19:34:33.090000+00:00,snapshot/event,6,155648,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, from_token:TEXT, to_token:TEXT, amount_in:TEXT, amount_out:TEXT, vendor:TEXT, quote_id:TEXT, trade_fee:TEXT, gas_fee:TEXT, price_impact_percent:REAL, route_count:INTEGER, route_spread_bps:REAL, latency_ms:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,DEX aggregator quote observations
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke.db,trades,web3_local_smoke,,,,snapshot/event,0,155648,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, trade_ts_ms:INTEGER, wallet:TEXT, side:TEXT, amount:TEXT, price:REAL, tag:TEXT, raw_json:TEXT",not computed for SQLite source inventory,0.0,EMPTY,DEX token trades
/Users/vanirli/Desktop/加密市场套利/onchain-alpha-atlas/artifacts/catalog.duckdb,unknown,unknown,,,,,,12288,not inspected,not inspected,,REVIEW_REQUIRED,candidate local file; no automatic copy or overwrite
/Users/vanirli/Desktop/加密市场套利/onchain-alpha-atlas/data/gold/canonical/fact_token_market_state.parquet,unknown,unknown,,,,,,308146,not inspected,not inspected,,REVIEW_REQUIRED,candidate local file; no automatic copy or overwrite
/Users/vanirli/Desktop/加密市场套利/onchain-alpha-atlas/data/gold/market_observations.parquet,unknown,unknown,,,,,,1914098,not inspected,not inspected,,REVIEW_REQUIRED,candidate local file; no automatic copy or overwrite
/Users/vanirli/Desktop/加密市场套利/onchain-alpha-atlas/data/silver/market_observations.parquet,unknown,unknown,,,,,,1914098,not inspected,not inspected,,REVIEW_REQUIRED,candidate local file; no automatic copy or overwrite
